pedigree,P50_GDUs,S50_GDUs
MEUB250660,895.0,883.0
MAUB250975,960.0,994.0
MAUB251111,1028.0,1083.0
MEEC250012,905.0,905.0
MAYX240605,895.0,905.0
MEEC250006,916.0,928.0
MAYX251753,936.0,951.0
ID000ZMSY04T000FF2401521,854.0,874.0
MAYX252137,951.0,970.0
MAUB251069,994.0,1028.0
ID000ZMSY04T000FF2400336,864.0,844.0
MAYX240356,970.0,1017.0
MAUU250041,895.0,895.0
MEVW250926,854.0,835.0
MEVX241049,781.0,799.0
MAUB251099,960.0,994.0
ID000ZMSW05T000FF2400656,905.0,936.0
MEEC250214,970.0,1005.0
MAYX251799,951.0,994.0
MEVW251070,799.0,781.0
MEVW250222,811.0,854.0
ID000ZMSY04T000FF2400607,905.0,916.0
MEVW250856,811.0,823.0
MEUB250608,883.0,895.0
MEVY250444,864.0,854.0
MAYX251893,895.0,928.0
MAYX252129,864.0,874.0
MEVW250988,854.0,844.0
MAUB241756,905.0,936.0
MAYX240314,874.0,874.0
ID000ZMSW05T000FF2400047,883.0,905.0
MEVW250876,864.0,854.0
ID000ZMSY04T000FF2400140,905.0,905.0
MEEC250130,895.0,883.0
MEUB250610,1017.0,1094.0
MAUB250811,994.0,1083.0
MEVW250958,811.0,799.0
MAUB23513,1028.0,1050.0
MEVW250930,835.0,811.0
MEVW251076,883.0,916.0
MEVW250232,854.0,854.0
ID000ZMSY04T000FF2401280,970.0,994.0
ID000ZMSY04T000MF2402528,883.0,905.0
MEVX241060,811.0,823.0
MEVW251094,854.0,854.0
MAUB251557,936.0,982.0
MAUB251143,905.0,936.0
ID000ZMSY04T000FF2400526,854.0,835.0
MEVY250424,835.0,811.0
MAUB23685,928.0,970.0
MAUB250839,994.0,1017.0
MAYX251217,844.0,874.0
MEUB251620,936.0,960.0
MEEC250100,970.0,994.0
MEEC250202,1028.0,1050.0
MAUB251173,1050.0,1138.0
MAUB251153,854.0,874.0
MEUB250650,874.0,883.0
MAUB250835,895.0,905.0
ID000ZMSW05T000FF2400465,883.0,905.0
MEVW250886,883.0,895.0
MEVY250418,835.0,844.0
MAYX250115,905.0,905.0
MAUB250685,944.0,982.0
MAUB251065,916.0,936.0
MAYX252259,928.0,951.0
MEUB252742,944.0,944.0
ID000ZMSW05T000FF2403721,916.0,905.0
MAUB251171,874.0,883.0
ID000ZMSY04T000MF2400079,864.0,895.0
MAYX251719,1017.0,1072.0
MEVX240242,811.0,811.0
ID000ZMSW05T000FF2402624,895.0,916.0
MEVY250466,854.0,854.0
MEXW250036,789.0,774.0
MAUB241782,951.0,994.0
MAUB240619,936.0,982.0
MAYX250333,874.0,905.0
ID000ZMSY04T000FF2400007,960.0,951.0
MEEE250024,854.0,874.0
MAYX252151,864.0,864.0
MEUB250694,874.0,905.0
MEVW251124,864.0,854.0
MEVW250904,854.0,864.0
MAUB251077,951.0,994.0
MAUB251147,994.0,994.0
ID000ZMSY04T000FF2400341,970.0,960.0
MAYX252119,982.0,994.0
ID000ZMSY04T000FF2400122,970.0,944.0
ID000ZMSY04T000FF2401415,883.0,864.0
MAUB252163,994.0,994.0
MEEC250266,951.0,951.0
MAYX251677,905.0,916.0
ID000ZMSY04T000MF2400968,823.0,799.0
MAYX240606,874.0,883.0
MAYX250597,916.0,1005.0
ID000ZMSW05T000FF2403731,905.0,928.0
MAYX251169,854.0,864.0
ID000ZMSY04T000FF2400459,951.0,944.0
MEUB250710,982.0,1050.0
ID000ZMSW05T000MF2401689,960.0,982.0
MAYX251801,905.0,916.0
MAUB251567,951.0,982.0
ID000ZMSW05T000FF2402812,970.0,970.0
MAYX251765,905.0,928.0
ID000ZMSY04T000FF2401138,895.0,883.0
MAUB251139,905.0,951.0
MEVX241061,764.0,774.0
MAUB251515,916.0,895.0
MAYX250593,1005.0,1050.0
MEEC250198,916.0,960.0
MEEC250144,905.0,928.0
MEUB250682,1050.0,1083.0
ID000ZMSY04T000FF2400372,936.0,994.0
MEVW250388,854.0,864.0
MEVY241081,789.0,823.0
ID000ZMSY04T000FF2400707,895.0,883.0
MEVW251046,854.0,874.0
MAYX240394,895.0,936.0
MEEC250038,994.0,1050.0
ID000ZMSW05T000FF2400393,936.0,960.0
MAUB251113,970.0,1028.0
MEEC250186,1083.0,1106.0
MEUB252678,970.0,951.0
MAYX252021,844.0,874.0
MAUB23255,1017.0,1072.0
MEVW250964,854.0,874.0
MEEC250182,951.0,982.0
MAYX252133,905.0,916.0
MAYX252127,1017.0,1072.0
MAUB252195,928.0,944.0
ID000ZMSY04T000FF2400302,916.0,944.0
MEVW250986,854.0,854.0
MAUU250023,874.0,864.0
MAUB241810,951.0,1050.0
MEUB250700,944.0,994.0
ID000ZMSW05T000FF2401878,1028.0,1050.0
ID000ZMSY04T000MF2400122,854.0,844.0
MAUB251543,916.0,960.0
MEVW250432,844.0,823.0
ID000ZMSY04T000FF2400319,970.0,970.0
MAUB251553,895.0,864.0
MAYX250279,928.0,944.0
ID000ZMSY04T000FF2401175,883.0,895.0
MAYX252107,951.0,951.0
MEVY250114,844.0,835.0
ID000ZMSW05T000MF2400575,883.0,916.0
MEVW250922,823.0,799.0
MEEC250062,982.0,1017.0
MEVY241072,835.0,854.0
ID000ZMSW05T000FF2403699,883.0,895.0
MEEC250180,982.0,1017.0
MAYX251589,970.0,994.0
ID000ZMSW05T000FF2400548,936.0,970.0
ID000ZMSY04T000FF2400726,928.0,916.0
MEUB240306,874.0,883.0
MAYX251213,864.0,874.0
ID000ZMSY04T000FF2400790,982.0,1005.0
MAYX240816,895.0,905.0
MERI2135,854.0,874.0
MEUB250602,944.0,960.0
MEUB250628,1017.0,1039.0
MEVW250140,854.0,844.0
ID000ZMSW05T000FF2400510,895.0,905.0
ID000ZMSY04T000FF2400011,928.0,895.0
MEVW250912,874.0,895.0
MAYX251141,916.0,936.0
MAUB250971,1072.0,1128.0
MAUB252161,1005.0,1028.0
MAYX241121,854.0,864.0
MAYX251805,905.0,960.0
MAYX240589,895.0,928.0
MAUB252745,960.0,951.0
ID000ZMSW05T000FF2400179,905.0,951.0
MAUB251223,895.0,928.0
MEVW250840,799.0,823.0
MEEC250046,883.0,883.0
MAYX240387,864.0,883.0
MAYX251731,1005.0,1028.0
ID000ZMSY04T000FF2401290,960.0,994.0
MEVY250422,854.0,864.0
